two years,78,0.000000,0.000000,0.000000,0.000000,0.000110,0.000110,0.000439,0.000768,0.000219,0.000329,0.000110,0.000439,0.000110,0.000329,0.000439,0.000439,0.000110,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000110,0.000000,0.000000,0.001426,0.000110,0.000219,0.000000,0.000000,0.000000,0.000329,0.000110,0.000329,0.000439,0.000000,0.000110,0.000000,0.000329,0.000000,0.000110,0.000219,0.000000,0.000110,0.000110,0.000219,0.000110,0.000219,0.000000,0.000000
three years,65,0.000000,0.000000,0.000000,0.000000,0.000110,0.000110,0.000548,0.000219,0.000000,0.000110,0.000329,0.000110,0.000329,0.000110,0.000329,0.000110,0.000548,0.000000,0.000000,0.000000,0.000000,0.000110,0.000110,0.000219,0.000219,0.000000,0.000000,0.000877,0.000329,0.000110,0.000000,0.000000,0.000000,0.000219,0.000110,0.000329,0.000658,0.000000,0.000110,0.000110,0.000000,0.000000,0.000000,0.000000,0.000219,0.000000,0.000000,0.000000,0.000000,0.000000,0.000110,0.000329
three times,45,0.000000,0.000000,0.000000,0.000110,0.000219,0.000110,0.000219,0.000548,0.000110,0.000110,0.000329,0.000219,0.000000,0.000110,0.000329,0.000548,0.000219,0.000110,0.000000,0.000000,0.000000,0.000110,0.000000,0.000000,0.000000,0.000000,0.000219,0.000329,0.000000,0.000000,0.000000,0.000000,0.000000,0.000110,0.000000,0.000110,0.000000,0.000000,0.000219,0.000110,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000329,0.000000,0.000000,0.000110
four years,40,0.000000,0.000000,0.000000,0.000000,0.000329,0.000110,0.000768,0.000000,0.000110,0.000219,0.000000,0.000110,0.000110,0.000000,0.000110,0.000658,0.000329,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000110,0.000000,0.000000,0.000110,0.000439,0.000110,0.000000,0.000000,0.000000,0.000000,0.000110,0.000110,0.000000,0.000110,0.000000,0.000000,0.000000,0.000000,0.000000,0.000219,0.000110,0.000000,0.000000,0.000000,0.000000,0.000000,0.000110,0.000000,0.000000
10 years,40,0.000000,0.000000,0.000000,0.000000,0.000000,0.000110,0.000110,0.000219,0.000000,0.000110,0.000000,0.000000,0.000000,0.000000,0.000219,0.000110,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000110,0.000329,0.000110,0.000548,0.000110,0.000110,0.000110,0.000000,0.000110,0.000219,0.000110,0.000110,0.000329,0.000000,0.000110,0.000219,0.000219,0.000000,0.000219,0.000000,0.000110,0.000110,0.000000,0.000000,0.000110,0.000000,0.000000,0.000110
two weeks,35,0.000000,0.000000,0.000000,0.000000,0.000000,0.000219,0.000219,0.000219,0.000000,0.000219,0.000000,0.000110,0.000000,0.000110,0.000000,0.000548,0.000329,0.000000,0.000000,0.000000,0.000000,0.000219,0.000000,0.000000,0.000110,0.000000,0.000110,0.000329,0.000000,0.000110,0.000000,0.000000,0.000000,0.000000,0.000000,0.000329,0.000110,0.000000,0.000110,0.000000,0.000219,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000219,0.000000,0.000000
10 times,30,0.000000,0.000000,0.000000,0.000000,0.000219,0.000000,0.000110,0.000000,0.000000,0.000110,0.000219,0.000000,0.000110,0.000110,0.000000,0.000110,0.000219,0.000329,0.000219,0.000219,0.000110,0.000000,0.000110,0.000000,0.000000,0.000000,0.000000,0.000110,0.000110,0.000000,0.000000,0.000000,0.000110,0.000000,0.000110,0.000110,0.000000,0.000000,0.000000,0.000110,0.000329,0.000000,0.000110,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15 years,29,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000110,0.000110,0.000000,0.000000,0.000110,0.000000,0.000000,0.000110,0.000219,0.000110,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000219,0.000000,0.000110,0.000000,0.000987,0.000110,0.000000,0.000219,0.000000,0.000000,0.000110,0.000000,0.000000,0.000000,0.000219,0.000110,0.000000,0.000000,0.000110,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000219
100 times,29,0.000000,0.000000,0.000000,0.000110,0.000000,0.000000,0.000110,0.000110,0.000000,0.000219,0.000110,0.000219,0.000000,0.000000,0.000439,0.000219,0.000329,0.000439,0.000110,0.000000,0.000000,0.000000,0.000110,0.000000,0.000000,0.000000,0.000000,0.000219,0.000000,0.000000,0.000000,0.000000,0.000110,0.000110,0.000000,0.000000,0.000000,0.000000,0.000110,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000110
two days,27,0.000000,0.000000,0.000000,0.000000,0.000110,0.000110,0.000219,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000219,0.000439,0.000110,0.000000,0.000110,0.000000,0.000000,0.000000,0.000000,0.000000,0.000110,0.000110,0.000110,0.000658,0.000110,0.000000,0.000000,0.000000,0.000110,0.000110,0.000000,0.000000,0.000110,0.000000,0.000000,0.000110,0.000000,0.000000,0.000000,0.000110,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
