approx year, term, approx size, fill alpha percent, possible pos name, horiz align
1966.4,satellite links,5.0,1.0,,right
1966.4,satellite system,24.170288,1.0,,center
1966.5,interplanetary monitoring platform,7.0332,0.5887687,,center
1966.6,scientific data,18.841856,0.49937305,,center
1966.6,Atlantic Ocean,18.867212,0.5904764,,center
1966.8,interplanetary monitoring,5.0,0.4887803,,center
1966.8,solar batteries,5.0,0.57881236,,left
1966.8,scientific sounding rockets,5.0,0.5810286,,center
1966.9,operating costs,5.0,0.5777586,,center
1966.9,Communications Satellite,11.322145,1.0,,left
1967.0,James McCormack,10.839731,1.0,,left
1967.1,other planets,6.508075,0.49250472,,left
1967.1,Dr Robert G Stone,5.0,1.0,,left
1967.3,military operations,5.0,0.48745385,,left
1967.4,collecting data,5.0,0.4829588,,left
1967.4,polar orbiting,5.968571,0.5877051,,left
1967.5,10 times,16.420465,0.99391747,,left
1967.5,global positioning,16.221155,0.5962434,,left
1967.5,manned flights,6.1440434,0.49232706,,left
1967.6,infrared sensors,5.0,0.47944918,,left
1967.6,domestic communications,21.625795,0.49892548,,left
1967.7,astronomical observations,5.085476,0.47630253,,left
1967.8,electronic components,5.0,0.57807463,,left
1967.8,northern lights,6.644791,0.7282681,,left
1967.9,general accounting office,10.637535,0.4894,,left
1967.9,large amounts,6.287545,0.59047264,,left
1968.0,cooperative programs,5.0,0.71707386,,left
1968.0,scientific objectives,9.9123125,0.4885148,,left
1968.1,30 days,13.790837,0.49383867,,left
1968.2,12 days,5.0,0.48480693,,left
1968.2,24 satellites,5.0,0.7335688,,left
1968.2,magnetic lines,5.0,0.5763903,,left
1968.3,scientific programs,5.0,0.7140612,,left
1968.4,primary objectives,9.439664,0.4924159,,left
1968.4,2 satellites,9.866924,0.58844954,,left
1968.4,solar winds,5.592815,0.4886918,,left
1968.4,national d’etudes,6.092672,1.0,,left
1968.5,economic benefits,5.0,0.56613284,,left
1968.6,﻿global positioning system,12.600031,1.0,,left
1968.6,mineral deposits,5.8358827,0.7303858,,left
1968.8,principal investigators,7.417254,0.5848387,,center
1968.8,lunar landing,12.011417,0.4979416,,center
1968.8,scientific achievements,5.0,0.47090983,,left
1968.9,tactical communications,5.0,0.95522445,,center
1968.9,other experiments,8.267384,0.5816626,,left
1968.9,few months,5.6827273,0.57618,,center
1968.9,large areas,5.6026073,0.96908545,,center
1968.9,young stars,5.0,0.56135285,,center
1969.0,15 yrs,5.0,0.55762756,,center
1969.2,military units,5.0,0.55587304,,left
1969.2,Milky Way,18.329475,0.84751105,,right
1969.2,two cosmonauts,5.0,0.465637,,left
1969.3,optical tracking,6.8019824,0.71838593,,left
1969.3,engineering data,5.0,0.5615603,,left
1969.3,secondary objectives,6.09395,0.4838384,,left
1969.4,12 years,5.0,0.4755176,,left
1969.5,solar processes,5.0,0.45467862,,left
1969.5,magnetic fields,14.444927,0.4974054,,left
1969.5,12 hrs,5.0,0.5573177,,left
1969.7,Robert J Samuelson,8.868857,1.0,,center
1969.7,Kapustin Yar,14.089333,0.86950064,,center
1969.7,high winds,5.0,0.5330394,,left
1969.8,meteorological sounding rocket,5.0,1.0,,center
1969.8,lunar roving vehicle,5.669342,0.48401442,,center
1969.9,planetary probes,5.0,0.47595358,,center
1969.9,10 yrs,9.811343,0.583673,,center
1969.9,new projects,5.0,0.57670593,,center
1969.9,other data,6.27338,0.5828261,,center
1970.2,military comsats,5.0,0.7206194,,left
1970.2,undersea cables,6.52873,1.0,,left
1970.2,transmitting data,10.626913,0.48630586,,left
1970.3,lunar roving,5.0,0.47455928,,left
1970.3,supercritical wing,6.5686016,1.0,,left
1970.4,lunar samples,17.818289,0.4952636,,left
1970.4,main parachutes,5.0,0.47394994,,left
1970.4,Richard Nixon,18.009155,0.5577987,,left
1970.5,foreign countries,11.102428,0.49303806,,left
1970.6,12 transponders,5.0,0.7187798,,left
1970.7,cosmic rays,24.091694,0.49838868,,left
1970.7,manned missions,7.0459332,0.48313463,,left
1970.8,successful flights,5.0,0.47308025,,center
1970.8,250 lbs,5.0,0.5681137,,left
1970.8,operational systems,5.0,0.7088383,,center
1970.9,physical processes,5.0,0.71379954,,center
1970.9,new techniques,6.8990746,0.57944506,,left
1971.0,technological advances,5.0,0.47874892,,left
1971.1,orbiting laboratories,5.0,0.7098812,,left
1971.1,lunar landing mission,9.752914,0.5812399,,left
1971.2,small craters,5.0,0.70949,,left
1971.2,two astronauts,5.0,0.48260722,,left
1971.2,remote sensing technology,5.0,0.9487703,,left
1971.2,magnetic storms,5.716672,0.72457004,,left
1971.3,four times,8.987049,0.9830556,,left
1971.3,few days,12.721503,1.0,,left
1971.3,two hours,14.079326,0.49188292,,left
1971.4,excellent data,5.0,0.5720867,,left
1971.4,unmanned missions,5.0,0.48076364,,left
1971.5,three satellites,16.848312,0.4982098,,left
1971.5,7 hrs,7.4591284,0.5778639,,left
1971.7,electric fields,5.0,0.71366876,,left
1971.7,other nations,14.285265,0.4961554,,center
1971.7,scientific results,5.2432327,0.5768112,,left
