Name
Aerojet
Aquarius Defence Industries
Ad Astra
Alliant Techsystems - ATK Space Systems
ARES
ASRC
"Barrios Technology, Inc."
Bastion Technologies
Boeing
Booz Allen Hamilton
Cimarron[2]
Colsa [3]
The Diamond Group
DKI [4]
Dynetics [5]
Draper Laboratory
Futron Corporation
GB Tech
GHG Corporation
Hernandez Engineering
Hamilton Sundstrand
Honeywell HEC
"ILC Dover, JSC"
ITT Corporation - AES (Advanced Engineering Systems) [6]
LinCom
Lockheed Martin Space Operations
Jacobs Engineering - ESCG
Kelsey-Seybold Clinic
Marotta Controls
MDA
"MEI Technologies, Inc. (MEIT)[7]"
MRI Technologies
NEPTEC Design Group
Northrop Grumman (NGST - Space Technology) [8]
Oceaneering Space Systems
Odyssey Space Research
Pratt & Whitney Rocketdyne
Qinetiq
Raytheon Training
Rockwell Collins
SAIC
"S&K Technologies, Inc."
"Stinger Ghaffarian Technologies (SGT, Inc.)"
"SPACEHAB, Inc."
Teledyne Brown Engineering
Tietronix Software Inc.
United Space Alliance
Universities Space Research Association
University of Texas Medical Branch
Wyle Labs
"ZIN Technologies, Inc."
