LAUNCHES AND ORBITAL FLIGHTS,,,,,,,,,,,,
57,09/12/93,"STS-51
 ",Discovery,5,09d 20h,,Kennedy,"ACTS satellite deployed, SPAS-Orfeus with IMAX camera.",[149][150],,,
58,10/18/93,"STS-58
 ",Columbia,7,14d 00h,,Edwards,Spacelab mission,[151][152],,,
59,12/02/93,"STS-61
 ",Endeavour,7,10d 19h,HST,Kennedy,Hubble Space Telescope servicing,[153][154],,,
60,02/03/94,"STS-60
 ",Discovery,6,07d 06h,,Kennedy,"SPACEHAB, Wake Shield Facility",[155][156],,,
61,03/04/94,"STS-62
 ",Columbia,5,13d 23h,,Kennedy,Microgravity experiments,[157][158],,,
62,04/09/94,"STS-59
 ",Endeavour,6,11d 05h,,Edwards,Shuttle Radar Laboratory-1,[159][160],,,
63,07/08/94,"STS-65
 ",Columbia,7,14d 17h,,Kennedy,Spacelab mission,[161][162],,,
64,09/09/94,"STS-64
 ",Discovery,6,10d 22h,,Edwards,Multiple science experiments; SPARTAN,[163][164],,,
65,09/30/94,"STS-68
 ",Endeavour,6,11d 05h,,Edwards,Space Radar Laboratory-2,[165][166],,,
66,11/03/94,"STS-66
 ",Atlantis,6,10d 22h,,Edwards,ATLAS-3 science platform,[167][168],,,
67,02/03/95,"STS-63
 ",Discovery,6,08d 06h,Mir,Kennedy,"Mir rendezvous, Spacehab, IMAX",[169][170],,,
68,03/02/95,"STS-67
 ",Endeavour,7,16d 15h,,Edwards,ASTRO-2,[171][172],,,
69,06/27/95,"STS-71
 ",Atlantis,07/08/14,09d 19h,Mir,Kennedy,First Shuttle-Mir docking,[173][174],,,
70,07/13/95,"STS-70
 ",Discovery,5,08d 22h,,Kennedy,TDRS-G/IUS deployed,[175][176],,,
71,09/07/95,"STS-69
 ",Endeavour,5,10d 20h,,Kennedy,"Wake Shield Facility, SPARTAN",[177][178],,,
72,10/20/95,"STS-73
 ",Columbia,7,15d 21h,,Kennedy,Spacelab mission,[179][180],,,
73,11/12/95,"STS-74
 ",Atlantis,5,08d 04h,Mir,Kennedy,2nd Shuttle-Mir docking. Delivered docking module. IMAX cargo bay camera.,[172][181],,,
74,01/11/96,"STS-72
 ",Endeavour,6,08d 22h,Space Flyer Unit,Kennedy,"Retrieved Japan's Space Flyer Unit, 2 EVAs.",[182][183],,,
75,02/22/96,"STS-75
 ",Columbia,7,15d 17h,,Kennedy,"Tethered satellite reflight, lost due to broken tether.",[184][185],,,
76,03/22/96,"STS-76
 ",Atlantis,06/05/14,09d 05h,Mir,Edwards,Shuttle-Mir docking,[186][187],,,
77,05/19/96,"STS-77
 ",Endeavour,6,10d 00h,,Kennedy,SPACEHAB; SPARTAN,[188][189],,,
78,06/20/96,"STS-78
 ",Columbia,7,16d 21h,,Kennedy,Spacelab mission,[190][191],,,
79,09/16/96,"STS-79
 ",Atlantis,06/06/14,10d 03h,Mir,Kennedy,Shuttle-Mir docking,[192][193],,,
80,11/19/96,"STS-80
 ",Columbia,5,17d 15h,,Kennedy,Wake Shield Facility; ASTRO-SPAS,[194][195],,,
81,01/12/97,"STS-81
 ",Atlantis,06/06/14,10d 04h,Mir,Kennedy,Shuttle-Mir docking,[196][197],,,
82,02/11/97,"STS-82
 ",Discovery,7,09d 23h,HST,Kennedy,Hubble Space Telescope servicing,[198][199],,,
83,04/04/97,"STS-83
 ",Columbia,7,03d 23h,,Kennedy,Truncated due to fuel cell problem,[200][201],,,
84,05/15/97,"STS-84
 ",Atlantis,07/07/14,09d 05h,Mir,Kennedy,Shuttle-Mir docking,[202][203],,,
85,07/01/97,"STS-94
 ",Columbia,7,15d 16h,,Kennedy,Spacelab mission,[204][205],,,
86,08/07/97,"STS-85
 ",Discovery,6,11d 20h,,Kennedy,CRISTA-SPAS,[206][207],,,
87,09/25/97,"STS-86
 ",Atlantis,07/07/14,10d 19h,Mir,Kennedy,Shuttle-Mir docking,[208][209],,,
88,11/19/97,"STS-87
 ",Columbia,6,15d 16h,,Kennedy,"Microgravity experiments, 2 EVAs, SPARTAN",[210][211],,,
89,01/22/98,"STS-89
 ",Endeavour,07/07/14,08d 19h,Mir,Kennedy,Shuttle-Mir docking,[212][213],,,
90,04/17/98,"STS-90
 ",Columbia,7,15d 21h,,Kennedy,Spacelab mission,[214][215],,,
