SUB-ORBITAL,
Program,Sub-program (related to row above in column A)
Anomalous Transport Rocket Experiment (ATREX)  ,
,
EARTH SATELLITES,
Program,Sub-program (related to row above in column A)
"Biosatellite 1, 2 and 3",
Cosmic Background Explorer (COBE),
- Earth Observing System[8],
,Gravity Recovery and Climate Experiment (GRACE)
,NPOESS Preparatory Project (NPP) – National Polar-orbiting Operational Environmental Satellite System (NPOESS)[9]
,Upper Atmosphere Research Satellite (UARS)
Echo 1 and 2,
- Great Observatories,
,Chandra X-ray Observatory
,Compton Gamma Ray Observatory
,Hubble Space Telescope – ESA partnership
,"Spitzer Space Telescope (formerly known as the Space Infrared Telescope Facility, SIRTF)"
 High Energy Astronomy Observatory program,
,High Energy Astronomy Observatory 1 (HEAO 1)
,Einstein Observatory (HEAO 2) first fully imaging X-ray telescope
,High Energy Astronomy Observatory 3 (HEAO 3)
Imager for Magnetopause-to-Aurora Global Exploration (IMAGE),
Infrared Astronomical Satellite (IRAS),
- Landsat program[10],
,Landsat 1
,Landsat 2
,Landsat 3
,Landsat 4
,Landsat 5
,Landsat 6
,Landsat 7
,Landsat Data Continuity Mission
- Living With a Star,
,Van Allen Probes – Twin probes studying the Van Allen radiation belt [11][12]
Moderate-Resolution Imaging Spectroradiometer (MODIS),
Multi-angle Imaging SpectroRadiometer (MISR),
- New Millennium Program (NMP),
,Earth Observing-1 (EO-1)
,Space Technology 5 (ST5)
,Space Technology 6 (ST6)
NanoSail-D & NanoSail-D2,
Orbiting Carbon Observatory (OCO),
- Origins program,
,Far Ultraviolet Spectroscopic Explorer (FUSE)
,Kepler searching for Earth-sized exoplanets in the habitable zone
Time History of Events and Macroscale Interactions during Substorms (THEMIS),
- Small Explorer program (SMEX)[13],
,Aeronomy of Ice in the Mesosphere (AIM)
,Fast Auroral Snapshot Explorer (FAST)
,Galaxy Evolution Explorer (GALEX)
,Interstellar Boundary Explorer (IBEX)
,Nuclear Spectroscopic Telescope Array (NuSTAR) – X-ray telescope orbiting Earth[14][15]
,"Reuven Ramaty High Energy Solar Spectroscopic Imager (RHESSI) – Sun observing, Earth satellite"
,Solar Anomalous and Magnetospheric Particle Explorer (SAMPEX)
,Submillimeter Wave Astronomy Satellite (SWAS)
,"Transition Region and Coronal Explorer (TRACE) – Sun observing, Earth satellite"
,Wide Field Infrared Explorer (WIRE)
 Solar Terrestrial Probes program,
,Hinode (Solar-B)
