Date,Event leading to Space exploration,Country,Researcher(s)
01/02/59,"First firing of a rocket in Earth orbit
First reaching Earth escape velocity or Trans Lunar Injection
First detection of solar wind",  USSR,Luna 1
01/04/59,First artificial satellite to reach the Moon vicinity and first artificial satellite in heliocentric orbit,  USSR,Luna 1
08/07/59,First photograph of Earth from orbit,  USA (NASA),Explorer 6
09/13/59,"First impact into another world (the Moon)
First delivery of national (USSR) pennants to a celestial body",  USSR,Luna 2
10/04/59,First photos of far side of the Moon,  USSR,Luna 3
08/19/60,First plants and animals to return alive from Earth orbit,  USSR,Sputnik 5
01/31/61,"First Hominidae in space, first tasks performed in space; Ham (chimpanzee).",  USA (NASA),M-R 2
02/12/61,"First launch from Earth orbit of upper stage into a heliocentric orbit
First mid-course corrections
First spin-stabilisation",  USSR,Venera 1
04/12/61,"First human spaceflight–(Yuri Gagarin)
First human-crewed orbital flight",  USSR,Vostok 1
05/19/61,"First planetary flyby (within 100,000 km of Venus - no data returned)",  USSR,Venera 1
03/07/62,First orbital solar observatory,  USA (NASA),OSO-1
12/14/62,"First planetary flyby by USA (Venus closest approach 34,773 kilometers)",  USA (NASA),Mariner 2
06/16/63,First woman in space (Valentina Tereshkova),  USSR,Vostok 6
07/19/63,First reusable crewed spacecraft (suborbital),  USA (NASA),X-15 Flight 90
03/18/65,First extra-vehicular activity,  USSR,Voskhod 2
07/14/65,"First Mars flyby (closest approach 9,846 kilometers)",  USA (NASA),Mariner 4
12/15/65,"First orbital rendezvous (parallel flight, no docking)",  USA (NASA),Gemini 6A/Gemini 7
02/03/66,"First soft landing on another world (the Moon)
First photos from another world",  USSR,Luna 9
03/01/66,First impact into another planet (Venus),  USSR,Venera 3
03/16/66,First orbital docking between two spacecraft,  USA (NASA),Gemini 8/Agena target vehicle
04/03/66,First artificial satellite around another world (the Moon),  USSR,Luna 10
06/02/66,"Soft landing on the Moon
photos from the Moon",  USA (NASA),Surveyor 1
10/30/67,First automated (crewless) docking,  USSR,Cosmos 186/Cosmos 188
12/07/68,First orbital ultraviolet observatory,  USA (NASA),OAO-2
12/21/68,"First piloted orbital mission of another celestial body (Moon),
First-ever Trans-Earth injection (25 December)",  USA (NASA),Apollo 8
07/21/69,First human on the Moon and first space launch from a celestial body,  USA (NASA),Apollo 11
11/19/69,First rendezvous on the surface of a celestial body,  USA (NASA),Apollo 12/Surveyor 3
09/24/70,First automatic sample return from the Moon,  USSR,Luna 16
11/23/70,First lunar rover,  USSR,Lunokhod 1
12/12/70,First X-ray orbital observatory,  USA (NASA),Uhuru (satellite)
12/15/70,"First soft landing on another planet (Venus)
First signals from another planet",  USSR,Venera 7
04/23/71,First space station,  USSR,Salyut 1
"June, 1971",First Manned orbital observatory,  USSR,Orion 1
11/14/71,First to maintain orbit around another planet (Mars),  USA (NASA),Mariner 9
11/27/71,First impact into Mars,  USSR,Mars 2
12/02/71,"First soft Mars landing
First signals from Mars surface",  USSR,Mars 3
03/03/72,First human made object sent on escape trajectory away from the Sun,  USA (NASA),Pioneer 10
07/15/72,First mission to enter the asteroid belt and leave inner solar system,  USA (NASA),Pioneer 10
11/15/72,First orbital gamma ray observatory,  USA (NASA),SAS 2
12/03/73,"First Jupiter flyby (at 130,000 km)",  USA (NASA),Pioneer 10
02/05/74,"Venus flyby at 5768 kilometers, first gravitational assist manoeuvre",  USA (NASA),Mariner 10
03/29/74,First Mercury flyby at 703 kilometers,  USA (NASA),Mariner 10
07/15/75,First multinational manned mission,  USSR   USA (NASA),Apollo-Soyuz Test Project
10/20/75,First orbit around Venus,  USSR,Venera 9
10/22/75,First photos from the surface of another planet (Venus),  USSR,Venera 9
04/17/76,"Closest flyby of the Sun (43.432 million kilometers)
Maximum speed record among spacecraft (252,792 km/h)",  USA (NASA)   West Germany-DFVLR,Helios 2
07/20/76,First photos and soil samples from the surface of Mars,  USA (NASA),Viking Lander
01/26/78,First real time remotely operated ultraviolet orbital observatory,  USA (NASA)   ESA   UK-SERC,International Ultraviolet Explorer
12/04/78,First extended (multi-year) orbital exploration of Venus from 1978 to 1992,  USA (NASA),Pioneer Venus Orbiter
03/05/79,"Jupiter flyby (closest approach 349,000 km)",  USA (NASA),Voyager 1
09/01/79,"First Saturn flyby at 21,000 km",  USA (NASA),Pioneer 11
11/12/80,"Saturn flyby (closest approach 124,000 kilometers)",  USA (NASA),Voyager 1
04/12/81,First Reusable manned spacecraft (orbital),  USA (NASA),STS-1
03/01/82,First Venus soil samples & sound recording of another world,  USSR,Venera 13
01/25/83,First Infrared orbital observatory,  USA (NASA)   UK-SERC  Netherlands-NIVR,IRAS
03/23/83,Ultraviolet orbital observatory,  USSR   France,Astron
06/13/83,First spacecraft beyond the orbit of Neptune (first spacecraft to pass beyond all Solar System planets),  USA (NASA),Pioneer 10
02/07/84,"First untethered spacewalk, Bruce McCandless II",  USA (NASA),STS-41-B
01/24/86,"First Uranus flyby (closest approach 81,500 kilometers)",  USA (NASA),Voyager 2
02/19/86,First consistently inhabited long-term research space station,  USSR,Mir
08/25/89,"First Neptune flyby (closest approach at 29,240 km)",  USA (NASA),Voyager 2
11/18/89,First orbital cosmic microwave observatory,  USA (NASA),COBE
12/01/89,Ultraviolet to gamma ray spectrum orbital observatory,  USSR   France   Denmark  Bulgaria,Granat
02/14/90,First photograph of the whole solar system[4],  USA (NASA),Voyager 1
04/24/90,Optical orbital observatory,  USA (NASA)   ESA,Hubble Space Telescope
10/21/91,"First asteroid flyby (951 Gaspra closest approach 1,600 kilometers)",  USA (NASA),Galileo
02/08/92,First polar orbit around the Sun,  USA (NASA)   ESA,Ulysses
03/22/95,Record longest duration spaceflight (437.7 days) set by Valeri Polyakov,  Russia,Mir
12/07/95,First orbit of Jupiter,  USA (NASA),Galileo
12/07/95,First mission into the atmosphere of a gas giant (Jupiter),  USA (NASA),Galileo's atmospheric entry probe
07/04/97,First operational rover on another planet (Mars),  USA (NASA),Mars Pathfinder
02/14/00,First orbiting of an asteroid (433 Eros),  USA (NASA),NEAR Shoemaker
02/12/01,First landing on an asteroid (433 Eros),  USA (NASA),NEAR Shoemaker
07/01/04,First orbit of Saturn,  USA (NASA)   ESA   ASI,Cassini–Huygens
09/08/04,First sample return beyond lunar orbit (solar wind),  USA (NASA),Genesis
01/14/05,First soft landing on Titan,  ESA   USA (NASA)   ASI,Cassini–Huygens
11/19/05,"First asteroid ascent (25143 Itokawa)
First interplanetary escape without undercarriage cutoff",  Japan (JAXA),Hayabusa
01/15/06,First sample return from comet (81P/Wild),  USA (NASA),Stardust
05/07/06,Extended (multi-year) orbital exploration of Venus,  ESA,Venus Express
03/06/09,"Kepler Mission is launched, first space telescope designated to search for Earth-like exoplanets[5]",  USA (NASA),Kepler Mission
06/13/10,First sample return from asteroid (25143 Itokawa),  Japan (JAXA),Hayabusa
03/18/11,First orbit of Mercury,  USA (NASA),MESSENGER
07/18/11,Radio orbital observatory. Largest space observatory ever launched.,  Russia (Astro Space Center),RadioAstron
08/25/12,First manmade probe in interstellar space.,  USA (NASA),Voyager 1
