Film,Year,Country,Researcher(s),,
"Ice Pirates, The",1984,English,,,
Ikarie XB1,1963,,,,
Independence Day,1996,English,,,
Iron Sky,2012,English,Satire featuring secret 1940s Nazi lunar colony,,
It! The Terror from Beyond Space,1958,,,,
Jason X,2002,English,,,
Journey to the 7th Planet,1962,,,,
Journey to the Far Side of the Sun,1969,,,,
"Last Starfighter, The",1984,English,,,
Leprechaun 4: In Space,1997,English,,,
Lifeforce,1985,,,,
Lifepod,1993,,,,
Lilo & Stitch,2002,English,,,
Lost in Space,1998,English,,,
Love,2011,English,"Debut film of ""William Eubank"" and ""Angels & Airwaves""",,
Man of Steel,2013,English,,,
Marooned,1969,,,,
Mars Attacks!,1996,English,,,
Masters of the Universe,1987,,,,
Megamind,2010,English,Animated,,
Men in Black,1997,English,,,
Men in Black II,2002,English,,,
Metalstorm: The Destruction of Jared-Syn,1983,,,,
Missile to the Moon,1958,,,,
Mission Stardust,1968,,,,
Mission to Mars,2000,,,,
Moon,2009,English,,,
Moon Zero Two,1969,,,,
Moon 44,1990,,,,
Moonraker,1979,English,,,
Moontrap,1989,,,,
"Noah's Ark Principle, The",1984,German,,,
Oblivion,2013,English,Multiple versions. 2013 starring Tom Cruise.,,
Outland,1981,English,,,
Outlander,2008,English,,,
Pandorum,2009,English,,,
"Phantom Planet, The",1961,English,,,
Pitch Black,2000,English,,,
Planet 51,2009,English,Animated,,
Planet Hulk,2010,English,Animated,,
Precious Find,1996,,,,
Predators,2010,English,,,
Project Moonbase,1953,,,,
Prometheus,2012,English,,,
Proxima,2007,Spanish,,,
Queen of Outer Space,1958,,,,
Race to Space,2002,,,,
Recon 2020: The Caprini Massacre,2004,,,,
Recon 2022: Mezzo Incident,2007,,,,
Recon 2023: The Gauda Prime Conspiracy,2009,,,,
Red Planet,2000,English,,,
"Right Stuff, The",1983,English,,,
Robinson Crusoe on Mars,1964,,,,
Rocketship X-M,1950,,,,
"Rocky Jones, Space Ranger",1954,,TV,,
Saturn 3,1980,,,,
Serenity,2005,,"Based on the cult TV show ""Firefly"" from 2002",,
Silent Running,1972,English,,,
Solar Crisis,1990,,,,
Solaris,1972,,,,
Solaris,2002,English,,,
Space: 1999,1975–1977,English,TV series,,
Spaceballs,1987,English,,,
SpaceCamp,1986,,,,
Spacehunter: Adventures in the Forbidden Zone,1983,,,,
Spaceways,1953,,,,
Space Battleship Yamato (2010 film),2010,Japanese,,,
Space Cowboys,2000,English,,,
Space Raiders,1983,,,,
Space Truckers,1996,,,,
Starcrash,1978,,,,
Star Crystal,1986,,,,
Star Quest: The Odyssey,2009,,,,
Star Runners,2009,,,,
Starship Troopers,1997,English,,,
Starship Troopers 3: Marauder,2008,English,,,
Star Trek,1966,English,TV series,,
Starship Exeter,2002,,Web Series / Fan Film,,
Star Trek: Phase II (fan series),2004,,Web Series,,
Star Trek,2009,English,,,
Star Trek: The Motion Picture,1979,English,,,
Star Trek II: The Wrath of Khan,1982,English,,,
Star Trek III: The Search for Spock,1983,English,,,
Star Trek IV: The Voyage Home,1986,English,,,
Star Trek V: The Final Frontier,1989,English,,,
Star Trek VI: The Undiscovered Country,1991,English,,,
Star Trek: First Contact,1996,English,,,
Star Trek Generations,1994,,,,
Star Trek: Insurrection,1998,English,,,
Star Trek Into Darkness,2013,English,,,
Star Trek Nemesis,2002,English,,,
Star Wars Episode I: The Phantom Menace,1999,English,,,
Star Wars Episode II: Attack of the Clones,2002,English,,,
Star Wars Episode III: Revenge of the Sith,2005,English,,,
Star Wars Episode IV: A New Hope,1977,English,,,
Star Wars Episode V: The Empire Strikes Back,1980,English,,,
Star Wars Episode VI: Return of the Jedi,1983,English,,,
Star Wars Episode VII,2015,English,,,
Star Wars: The Clone Wars,2008,English,,,
Stargate,1994,English,,,
Stargate: The Ark of Truth,2008,English,,,
Stargate: Continuum,2008,English,,,
Stranded: Náufragos,2002,,,,
Sunshine,2007,English,,,
Superman,1978,English,,,
Superman II,1980,English,,,
Supernova,2000,,,,
"Terrornauts, The",1967,,,,
This Island Earth,1955,English,,,
Titan A.E.,2000,English,Animated,,
Total Recall,1990,English,,,
Treasure Planet,2002,,Animated,,
"Trip to the Moon, A",1902,French,Original title Le voyage dans la lune,,
WALL-E,2008,English,Animated,,
"Wild Blue Yonder, The",2005,English,,,
Wing Commander,1999,,,,
Woman in the Moon,1929,,,,
Zenon: Girl of the 21st Century,1999,,,,
Zenon: The Zequel,2001,,,,
Zenon: Z3,2004,,,,
Zathura: A Space Adventure,2005,English,,,
