Film,Year,Country,Researcher(s),,
The Last Days on Mars,2013,English,,,
Elysium (film),2013,English,,,
Riddick,2013,English,,,
2001: A Space Odyssey,1968,English,,,
2010,1984,English,(a.k.a. 2010: The Year We Make Contact) Sequel to 2001: A Space Odyssey,,
Abbott and Costello Go to Mars,1953,English,,,
"Andromeda Strain, The",1971,English,,,
Apollo 18,2011,English,About a rumored 18th mission to the moon in December 1974,,
"Adventures of Buckaroo Banzai Across the 8th Dimension, The",1984,English,,,
"Adventures of Pluto Nash, The",2002,English,,,
Alien,1979,English,,,
Alien vs. Predator,2004,English,,,
Aliens vs. Predator: Requiem,2007,English,,,
Aliens,1986,English,,,
Alien 3,1992,English,,,
Alien Resurrection,1997,English,,,
"American Astronaut, The",2001,,,,
Android,1982,,,,
Apollo 13,1995,English,,,
Armageddon,1998,English,,,
"Angry Red Planet, The",1959,,,,
Avatar,2009,English,,,
Babylon 5,1993,English,TV series,,
Barbarella,1968,,,,
Battlespace,2007,,,,
Battle Beyond the Stars,1980,English,,,
Battlestar Galactica,1978,,TV series,,
Battlestar Galactica,2003,English,TV series,,
Battlestar Galactica: Razor,2007,English,TV,,
Battlestar Galactica: The Plan,2009,English,TV,,
"Black Hole, The",1979,English,,,
Blake's 7,1978,English,TV,,
Buck Rogers in the 25th Century,1979,English,TV,,
Capricorn One,1978,English,,,
Cargo,2009,German,SF Movie from Ivan Engler,,
Cat-Women of the Moon,1953,,,,
Close Encounters of the Third Kind,1977,English,,,
Conquest of Space,1955,,,,
Contact,1997,English,,,
"Chronicles of Riddick, The",2004,English,,,
The Chronicles of Riddick: Dark Fury,2004,,"Animated short set between ""Pitch Black"" & ""The Chronicles of Riddick""",,
Countdown,1968,,,,
Critters 4,1992,,,,
Dante 01,2008,French,,,
Dark Star,1974,English,,,
The Day the Earth Stood Still,1951,English,,,
Deep Impact,1998,English,,,
Destination Moon,1950,English,,,
District 9,2009,English,,,
Doom,2005,English,,,
Dracula 3000,2004,,,,
Dune,1984,English,,,
Earth Star Voyager,1988,,,,
Ender's Game (film),2013,English,,,
Enemy Mine,1985,English,,,
E.T. the Extra-Terrestrial,1982,English,,,
Europa Report,2013,English,"An exploration mission to a moon of Jupiter named ""Europa""",,
Event Horizon,1997,English,,,
Explorers,1985,,,,
"Fifth Element, The",1997,English,,,
Final Fantasy: The Spirits Within,2001,English,,,
Farscape,1999,English,TV series,,
Farscape: The Peacekeeper Wars,2004,English,,,
Firefly,2002,English,TV series,,
First Man into Space,1959,,,,
"First Men in the Moon, The",1919,,,,
First Men in the Moon,1964,,,,
First Spaceship on Venus,1959,,,,
Flash Gordon,1980,English,,,
Flight to Mars,1951,,,,
Forbidden Planet,1956,English,,,
"Fountain, The",2006,,,,
From the Earth to the Moon,1958,,,,
Galaxy Quest,1999,English,Satire of space adventure television genre i.e. Star Trek,,
Galaxy of Terror,1981,,,,
Gayniggers From Outer Space,1992,,,,
Ghosts of Mars,2001,,,,
G.O.R.A,2004,Turkish,,,
Gravity (film),2013,English,,,
Hellraiser: Bloodline,1996,,Some parts of film set in space based puzzlebox,,
"Hitchhiker's Guide to the Galaxy, The",2005,English,,,
Humanity's End,2009,,,,
Hunter Prey,2010,English,,,
