PHRASE: vice president _nytCount: 5 _historyStories.size(): 46 _mentions: 58        _unique stories: 5
PHRASE: science and technology _nytCount: 19 _historyStories.size(): 46 _mentions: 54        _unique stories: 0
PHRASE: flight research _nytCount: 3 _historyStories.size(): 44 _mentions: 45        _unique stories: 1
PHRASE: boeing company _nytCount: 2 _historyStories.size(): 43 _mentions: 45        _unique stories: 4
PHRASE: nasa scientists _nytCount: 41 _historyStories.size(): 42 _mentions: 44        _unique stories: 3
PHRASE: nasa headquarters _nytCount: 6 _historyStories.size(): 41 _mentions: 44        _unique stories: 4
PHRASE: mission control _nytCount: 22 _historyStories.size(): 40 _mentions: 51        _unique stories: 1
PHRASE: crew members _nytCount: 27 _historyStories.size(): 40 _mentions: 53        _unique stories: 1
PHRASE: station program _nytCount: 7 _historyStories.size(): 39 _mentions: 42        _unique stories: 0
PHRASE: mountain view _nytCount: 7 _historyStories.size(): 38 _mentions: 38        _unique stories: 1
PHRASE: langley research _nytCount: 6 _historyStories.size(): 37 _mentions: 37        _unique stories: 0
PHRASE: clinton administration _nytCount: 29 _historyStories.size(): 35 _mentions: 36        _unique stories: 3
PHRASE: space officials _nytCount: 15 _historyStories.size(): 34 _mentions: 36        _unique stories: 1
PHRASE: five years _nytCount: 24 _historyStories.size(): 34 _mentions: 35        _unique stories: 1
PHRASE: space exploration _nytCount: 101 _historyStories.size(): 33 _mentions: 37        _unique stories: 3
PHRASE: research program _nytCount: 3 _historyStories.size(): 32 _mentions: 32        _unique stories: 8
PHRASE: president clinton _nytCount: 2 _historyStories.size(): 29 _mentions: 30        _unique stories: 2
PHRASE: space systems _nytCount: 5 _historyStories.size(): 29 _mentions: 31        _unique stories: 2
PHRASE: aviation administration _nytCount: 9 _historyStories.size(): 29 _mentions: 30        _unique stories: 6
PHRASE: galileo spacecraft _nytCount: 24 _historyStories.size(): 29 _mentions: 29        _unique stories: 8
PHRASE: space research _nytCount: 11 _historyStories.size(): 27 _mentions: 27        _unique stories: 1
