the pacific ocean :0.000015
national research council :0.000015
hugh l dryden :0.000015
data were obtained :0.000015
us geological survey :0.000015
ny times apr :0.000015
nasa administrator dr :0.000015
from wallops island :0.000015
the mir space :0.000015
the launch pad :0.000015
the kennedy space :0.000015
space shuttle endeavour :0.000015
plesetsk into orbit :0.000015
office of science :0.000015
nasa announced selection :0.000015
los angeles times :0.000015
communications satellite corp :0.000015
charles conrad jr :0.000015
and space administration :0.000015
american rockwell corp :0.000015
tyuratam total weight :0.000014
the space age :0.000014
hughes aircraft co :0.000014
exploration of space :0.000014
construction of facilities :0.000014
the launch vehicle :0.000014
mi from earth :0.000014
150 sounding rocket :0.000014
nasas ames research :0.000014
dryden flight research :0.000014
the ussr launched :0.000014
space technology reported :0.000014
of lunar surface :0.000014
nasas goddard space :0.000014
nasa deputy associate :0.000014
james a lovell :0.000014
at nasa headquarters :0.000014
was functioning normally :0.000014
w post feb :0.000014
lunar and planetary :0.000014
general accounting office :0.000014
dr thomas 0 :0.000014
w post aug :0.000014
space agency esa :0.000014
dr hugh l :0.000014
western test range :0.000013
the space telescope :0.000013
the ny times :0.000013
into earth orbit :0.000013
wallops island va :0.000013
the indian ocean :0.000013
of space exploration :0.000013
develop space flight :0.000013
base in california :0.000013
the scientific community :0.000013
objective develop space :0.000013
launched into orbit :0.000013
for space flight :0.000013
cape canaveral air :0.000013
air force station :0.000013
vehicle payload data :0.000013
the apollosoyuz test :0.000013
saturn v launch :0.000013
orbital parameters apogee :0.000013
miles per hour :0.000013
lunar landing mission :0.000013
director of nasa :0.000013
churchill research range :0.000013
chief of staff :0.000013
a lovell jr :0.000013
the senate committee :0.000013
of space technology :0.000013
nasa lewis research :0.000013
mcdonnell douglas corp :0.000013
edwin e aldrin :0.000013
deep space network :0.000013
to determine whether :0.000013
thomas p stafford :0.000013
the federal government :0.000013
otoole w post :0.000013
orbiting solar observatory :0.000013
ny times mar :0.000013
nasa test pilot :0.000013
low earth orbit :0.000013
in space exploration :0.000013
from baikonur cosmodrome :0.000013
designed and built :0.000013
cooperation in space :0.000013
at cape kennedy :0.000013
uses of outer :0.000012
university of california :0.000012
of apollo 11 :0.000012
in outer space :0.000012
designation vehicle payload :0.000012
canaveral air force :0.000012
alan b shepard :0.000012
air traffic control :0.000012
w post dec :0.000012
the apollo spacecraft :0.000012
space flight techniques :0.000012
office of manned :0.000012
in lunar orbit :0.000012
dr wernher von :0.000012
distinguished service medal :0.000012
at goddard space :0.000012
wernher von braun :0.000012
the johnson space :0.000012
subcommittee on space :0.000012
space shuttle flights :0.000012
space center ksc :0.000012
signed an agreement :0.000012
ny times jan :0.000012
mountain view california :0.000012
missiles and space :0.000012
launched unidentified satellite :0.000012
launched by ussr :0.000012
christian science monitor :0.000012
apollo 11 astronauts :0.000012
w post oct :0.000012
w post jan :0.000012
the challenger accident :0.000012
richard h truly :0.000012
of space station :0.000012
launched from wallops :0.000012
e aldrin jr :0.000012
and astronautics subcommittee :0.000012
w post jul :0.000012
usaf launched unidentified :0.000012
the space environment :0.000012
telephone and telegraph :0.000012
paine nasa administrator :0.000012
international telecommunications satellite :0.000012
in washington post :0.000012
dr george e :0.000012
cosmodrome in kazakhstan :0.000012
applications technology satellite :0.000012
space and missile :0.000012
payload data apogee :0.000012
launched from cape :0.000012
george e mueller :0.000012
and data relay :0.000012
administrator daniel goldin :0.000012
• president johnson :0.000011
vehicle launch site :0.000011
srl • nasa :0.000011
speed of sound :0.000011
on space shuttle :0.000011
nasa administrator richard :0.000011
from churchill research :0.000011
david r scott :0.000011
apollo telescope mount :0.000011
announced the appointment :0.000011
announced by nasa :0.000011
an air force :0.000011
week and space :0.000011
see air force :0.000011
min and inclination :0.000011
experiment to study :0.000011
reported that nasa :0.000011
john h glenn :0.000011
in los angeles :0.000011
earth resources technology :0.000011
team of scientists :0.000011
space shuttle challenger :0.000011
space flight centers :0.000011
ny times dec :0.000011
national advisory committee :0.000011
institute of aeronautics :0.000011
in cape canaveral :0.000011
douglas aircraft co :0.000011
a2 baykonur tyuratam :0.000011
space systems div :0.000011
smithsonian astrophysical observatory :0.000011
aeron space act :0.000011
the saturn v :0.000011
secretary of transportation :0.000011
nasa langley research :0.000011
launched from nasa :0.000011
in synchronous orbit :0.000011
development of space :0.000011
blank not filmed :0.000011
announced the award :0.000011
w post nov :0.000010
the soviet academy :0.000010
the launch site :0.000010
solidfuel rocket boosters :0.000010
ny times oct :0.000010
ny times feb :0.000010
nasa from wsmr :0.000010
johns hopkins univ :0.000010
heating and cooling :0.000010
b shepard jr :0.000010
• marshall space :0.000010
the communications satellite :0.000010
space shuttle flight :0.000010
planned to launch :0.000010
milky way galaxy :0.000010
manned space station :0.000010
library of congress :0.000010
from wsmr carried :0.000010
upi w post :0.000010
resources technology satellite :0.000010
preceding page blank :0.000010
new york city :0.000010
committee for aeronautics :0.000010
as deputy director :0.000010
announced that nasa :0.000010
york times editorial :0.000010
were functioning normally :0.000010
walter m schirra :0.000010
space station mir :0.000010
space shuttle main :0.000010
scheduled to begin :0.000010
lunar roving vehicle :0.000010
director of space :0.000010
and technical information :0.000010
and space council :0.000010
american aviation inc :0.000010
space shuttle missions :0.000010
solid rocket motor :0.000010
propulsion laboratory jpl :0.000010
orbiting astronomical observatory :0.000010
nasa announced appointment :0.000010
michoud assembly facility :0.000010
in aviation week :0.000010
housing and urban :0.000010
equipment was functioning :0.000010
edwards afb calif :0.000010
design and development :0.000010
data relay satellite :0.000010
a space station :0.000010
the boeing company :0.000010
strategic defense initiative :0.000010
space science board :0.000010
ny times aug :0.000010
missile and space :0.000010
launch date name :0.000010
l gordon cooper :0.000010
grumman aerospace corp :0.000010
flight center greenbelt :0.000010
eugene a cernan :0.000010
corps of engineers :0.000010
and service module :0.000010
• nasa administrator :0.000009
today brevard fl :0.000009
rockwell international corp :0.000009
orbiting space station :0.000009
orbital sciences corporation :0.000009
ny times reported :0.000009
from cape kennedy :0.000009
for space station :0.000009
federal communications commission :0.000009
california at berkeley :0.000009
the soviet space :0.000009
the peaceful uses :0.000009
space technology laboratories :0.000009
scientific and technological :0.000009
objective communications description :0.000009
ny times jul :0.000009
mission control center :0.000009
instruments performed satisfactorily :0.000009
gemini and apollo :0.000009
contract to provide :0.000009
baykonur tyuratam total :0.000009
advanced research projects :0.000009
v launch vehicle :0.000009
the earths surface :0.000009
the aerospace industry :0.000009
shuttle main engine :0.000009
saturn v booster :0.000009
research center announced :0.000009
office of advanced :0.000009
of space research :0.000009
missiles and rockets :0.000009
lyndon b johnson :0.000009
h glenn jr :0.000009
from kennedy space :0.000009
for advanced research :0.000009
electronics research center :0.000009
center greenbelt maryland :0.000009
a black hole :0.000009
univ of michigan :0.000009
space telescope hst :0.000009
space center announced :0.000009
off nasa release :0.000009
nasa had awarded :0.000009
nasa announced award :0.000009
launched from wsmr :0.000009
for space exploration :0.000009
by nasa test :0.000009
aviation week reported :0.000009
air force space :0.000009
administrator dr james :0.000009
• usaf announced :0.000009
the washington star :0.000009
the space agency :0.000009
the soviet unions :0.000009
o z c :0.000009
niketomahawk sounding rocket :0.000009
nasa ames research :0.000009
into synchronous orbit :0.000009
into polar orbit :0.000009
florida today brevard :0.000009
deputy administrator dr :0.000009
cambridge research laboratories :0.000009
apogee kick motor :0.000009
and development administration :0.000009
american astronomical society :0.000009
advancement of science :0.000009
a wide range :0.000009
• nasa reported :0.000009
satellite from vandenberg :0.000009
research projects agency :0.000009
other government agencies :0.000009
nasa successfully launched :0.000009
nasa rpts srl :0.000009
mission to mars :0.000009
manned and unmanned :0.000009
launched from etr :0.000009
ksc in cape :0.000009
john f kennedy :0.000009
george p miller :0.000009
vandenberg afb calif :0.000009
the washington times :0.000009
the wall street :0.000009
robert h goddard :0.000009
reported in science :0.000009
office of management :0.000009
of advanced research :0.000009
nasa had selected :0.000009
nasa aerobee 150 :0.000009
martin marietta corp :0.000009
for associated press :0.000009
exceptional service medal :0.000009
administrator dr robert :0.000009
w times mar :0.000008
w times feb :0.000008
w times apr :0.000008
the planets surface :0.000008
soviet union launched :0.000008
satellite was launched :0.000008
robert s mcnamara :0.000008
pratt whitney div :0.000008
nasas marshall space :0.000008
nasa had launched :0.000008
nasa assistant administrator :0.000008
headed by dr :0.000008
for atmospheric research :0.000008
effects of weightlessness :0.000008
at nasas jet :0.000008
• ussr launched :0.000008
wallops station carried :0.000008
wallops flight center :0.000008
to collect data :0.000008
thomas o paine :0.000008
sponsored by nasa :0.000008
space and aeronautics :0.000008
ny times nov :0.000008
in upper atmosphere :0.000008
appointment of dr :0.000008
and mission specialists :0.000008
and instruments performed :0.000008
american geophysical union :0.000008
administrator of nasa :0.000008
a press conference :0.000008
w post june :0.000008
univ of colorado :0.000008
scientific and engineering :0.000008
robert r gilruth :0.000008
of soviet academy :0.000008
nasa had designed :0.000008
gamma ray observatory :0.000008
clinton p anderson :0.000008
billion in fy :0.000008
atlantic missile range :0.000008
at ames research :0.000008
apogee st mi :0.000008
american world airways :0.000008
acting associate administrator :0.000008
weight unavailable objective :0.000008
was adjudged successful :0.000008
to nasa administrator :0.000008
to gather data :0.000008
the ozone layer :0.000008
the manned space :0.000008
the american astronomical :0.000008
surface of mars :0.000008
satellite situation report :0.000008
research center mountain :0.000008
orbiting laboratory mol :0.000008
ocean of storms :0.000008
o sen star :0.000008
nasa and dod :0.000008
millions of dollars :0.000008
mcdonnell douglas astronautics :0.000008
kilometers per hour :0.000008
for space studies :0.000008
dr robert r :0.000008
donald k slayton :0.000008
director of flight :0.000008
days in space :0.000008
center mountain view :0.000008
bureau of standards :0.000008
at nasas ames :0.000008
altitude to measure :0.000008
a news conference :0.000008
vehicle assembly building :0.000008
us space shuttle :0.000008
site payload data :0.000008
satellite into orbit :0.000008
russian space station :0.000008
president lyndon b :0.000008
lunar excursion module :0.000008
liftingbody vehicle piloted :0.000008
launch site payload :0.000008
inclination and reentered :0.000008
in space research :0.000008
for negotiations leading :0.000008
environmental protection agency :0.000008
dr thomas o :0.000008
and space co :0.000008
administrator richard h :0.000008
administrator for advanced :0.000008
aboard the iss :0.000008
w times aug :0.000008
virgil i grissom :0.000008
upi w star :0.000008
thoragena d total :0.000008
the south pole :0.000008
the goddard space :0.000008
the energy research :0.000008
space shuttle launch :0.000008
satellite entered orbit :0.000008
on space science :0.000008
office of aeronautics :0.000008
nasa announced plans :0.000008
kourou french guiana :0.000008
in pasadena california :0.000008
in manned space :0.000008
government and industry :0.000008
from edwards afb :0.000008
flight center msfc :0.000008
designed to provide :0.000008
defense and space :0.000008
at manned spacecraft :0.000008
astronaut frank borman :0.000008
as deputy associate :0.000008
the saturn ib :0.000007
the private sector :0.000007
the american institute :0.000007
the air forces :0.000007
space station iss :0.000007
space center nasa :0.000007
scout launch vehicle :0.000007
rep george p :0.000007
mars global surveyor :0.000007
in huntsville alabama :0.000007
had successfully completed :0.000007
from eastern test :0.000007
for scientific research :0.000007
experiment to measure :0.000007
engineering development center :0.000007
charles a berry :0.000007
center for atmospheric :0.000007
arnold engineering development :0.000007
and technology policy :0.000007
administrator sean okeefe :0.000007
above the earth :0.000007
usa today apr :0.000007
thoragena d booster :0.000007
the worlds largest :0.000007
the international telecommunications :0.000007
supersonic transport aircraft :0.000007
space center jsc :0.000007
saturn ib launch :0.000007
orbit still transmitting :0.000007
of defense robert :0.000007
nikecajun sounding rocket :0.000007
nikeapache sounding rockets :0.000007
nasa nikeapache sounding :0.000007
laboratory in pasadena :0.000007
homer e newell :0.000007
hall of fame :0.000007
had joined nasa :0.000007
expendable launch vehicles :0.000007
dr homer e :0.000007
communications description spheroid :0.000007
chandra xray observatory :0.000007
b sun apr :0.000007
antelope valley press :0.000007
announced that dr :0.000007
altitude and mach :0.000007
according to nasa :0.000007
• nasa awarded :0.000007
• dod announced :0.000007
william h pickering :0.000007
w post sept :0.000007
w post sep :0.000007
the shuttle orbiter :0.000007
the los angeles :0.000007
the christian science :0.000007
series of tests :0.000007
satisfactorily nasa rpt :0.000007
plans to launch :0.000007
of saturn v :0.000007
of earths atmosphere :0.000007
nasa x15 proj :0.000007
nasa authorization bill :0.000007
mission to planet :0.000007
force base california :0.000007
edward c welsh :0.000007
dr edward c :0.000007
description unavailable cosmos :0.000007
contract to develop :0.000007
committee on appropriations :0.000007
by president johnson :0.000007
approach and landing :0.000007
apollo 11 lunar :0.000007
and manned space :0.000007
american astronautical society :0.000007
wallops station va :0.000007
w times jan :0.000007
w post jun :0.000007
the naval research :0.000007
the earths magnetic :0.000007
telecommunications satellite organization :0.000007
sen clinton p :0.000007
proj off nasa :0.000007
nasa had scheduled :0.000007
m schirra jr :0.000007
flight center huntsville :0.000007
communications satellite corporation :0.000007
astronaut john h :0.000007
apollo 15 astronauts :0.000007
and urban development :0.000007
and saturn v :0.000007
and missile systems :0.000007
altitude to obtain :0.000007
air defense command :0.000007
aeronautical and astronautical :0.000007
a ground station :0.000007
z c h :0.000007
to planet earth :0.000007
the marshall space :0.000007
the defense department :0.000007
technology satellite launched :0.000007
scheduled to launch :0.000007
placed in orbit :0.000007
period and 740° :0.000007
p miller dcalif :0.000007
orbiting geophysical observatory :0.000007
of defense dod :0.000007
nasas space shuttle :0.000007
la times apr :0.000007
geostationary operational environmental :0.000007
ft in diameter :0.000007
for space research :0.000007
flight research facility :0.000007
dr robert h :0.000007
defense robert s :0.000007
centre national detudes :0.000007
applied physics laboratory :0.000007
and 740° inclination :0.000007
alan l bean :0.000007
william h dana :0.000007
to ground stations :0.000007
the strategic defense :0.000007
the journal science :0.000007
team of astronomers :0.000007
systems were functioning :0.000007
spacecraft center announced :0.000007
space nuclear propulsion :0.000007
scheduled to fly :0.000007
research and engineering :0.000007
perigee st mi :0.000007
orbital data apogee :0.000007
