landing capsule,12,0,1,0,1,4,0,2,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
following tabulation,12,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
flying object,12,0,0,0,0,0,0,1,2,2,2,0,2,1,2,0,0,0,0,0,0,0,0,0,0
engineering test,12,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,3,3,0,0,0,1,0,0,0
supporting research,11,0,0,0,2,1,0,1,2,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
providing information,11,0,1,0,2,0,0,0,0,2,2,0,0,1,0,0,2,1,0,0,0,0,0,0,0
processing system,11,0,0,0,1,1,0,0,0,0,0,0,1,0,2,3,1,0,1,0,0,0,0,0,0
operating agreement,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,5,1,0,2,0,0,0,0
lasting contribution,11,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
existing technology,11,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0
engineering design,11,0,0,2,1,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,2,0,0,0,0
drinking water,11,0,0,0,1,2,1,0,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1
crossing time,11,0,0,0,0,0,0,2,3,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
braking engine,11,0,0,0,0,0,2,0,0,0,0,4,0,1,2,0,2,0,0,0,0,0,0,0,0
opening session,10,0,0,1,1,0,1,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
landing craft,10,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,3,0,0,0,0,0,0,0,1
landing approach,10,0,0,0,0,0,0,0,0,0,1,0,3,2,2,1,0,1,0,0,0,0,0,0,0
increasing number,10,0,1,0,0,2,0,1,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0
funding level,10,0,0,0,0,0,0,0,1,1,2,3,1,0,0,0,1,0,0,0,0,0,0,0,0
flying boat,10,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,2,0,0,2,0,0,0,1
warning satellite,9,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,3
using both,9,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,3,0,1,0,0,0,0,0,0
training flight,9,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0
training aircraft,9,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0
tracking equipment,9,0,0,0,0,1,1,0,1,0,0,3,0,1,0,0,1,1,0,0,0,0,0,0,0
taking place,9,0,0,2,2,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
scanning radiometer,9,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,2,0,0,1,0,0,0
receiving antenna,9,0,0,0,0,0,3,2,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
operating plan,9,0,0,0,0,0,0,1,5,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
observing time,9,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,2,0,0,1,0,0,0,0
monitoring satellite,9,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,1
including 2d-stage,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
