orbiting :763
28 :762
board :760
speed :756
day :756
75 :756
kennedy :754
held :754
them :753
while :752
where :752
field :752
small :751
propulsion :751
instruments :751
institute :751
engineers :751
tv :750
measure :750
23 :748
venus :743
third :743
26 :741
operational :739
facilities :739
last :736
long :731
command :731
faa :729
transport :728
testing :727
management :727
27 :725
group :724
inc :723
agency :721
â€œthe :717
then :717
six :717
much :717
johnson :711
g :711
those :707
states :705
engines :702
services :699
reached :699
observatory :697
facility :696
rpt :693
resources :693
less :693
supersonic :691
north :691
ksc :688
orbiter :684
results :683
congress :683
associate :677
provided :676
areas :675
1974 :675
secretary :674
craft :674
mariner :673
100 :670
1975 :667
wallops :665
construction :665
called :664
record :662
marshall :662
plans :660
operation :659
performance :658
y :657
vehicles :654
indicated :653
west :652
what :646
same :645
european :639
electric :639
do :639
chairman :639
dept :637
special :636
told :635
state :635
hr :635
proj :632
assistant :632
down :631
chief :630
end :625
aeronautical :625
several :622
rd :622
jpl :622
until :620
administration :620
29 :620
site :618
did :618
effort :617
very :614
activities :614
union :612
carrying :612
built :611
boeing :608
goddard :603
still :600
must :599
proposed :596
men :593
toward :591
next :591
50 :588
atmospheric :587
set :586
charles :586
31 :585
officials :584
presented :583
de :581
ocean :580
team :579
continue :575
without :573
number :572
flown :572
countries :572
performed :570
module :570
am :570
wk :569
point :567
planet :565
soyuz :564
sources :564
selected :564
nations :562
bill :562
land :558
another :558
funds :557
operating :556
moscow :556
probe :555
light :555
way :554
tions :553
determine :553
increased :548
fuel :548
1964 :548
low :547
cooperation :547
available :547
temperature :544
launches :543
satisfactorily :542
began :540
become :540
back :540
taken :538
thomas :537
unmanned :536
continued :535
comsatcorp :535
great :534
analysis :534
far :531
academy :531
telescope :530
found :530
conditions :530
payloads :529
position :527
1976 :526
additional :525
obtain :524
reentry :521
environment :521
commercial :520
cape :519
missiles :518
organization :517
materials :517
around :517
wind :516
ssr :516
pressure :516
mph :516
∞the :515
working :515
outer :514
showed :513
nixon :512
signals :511
take :510
week :509
76 :509
final :508
74 :508
tech :507
like :506
similar :505
reentered :505
x15 :504
earthâ€™s :504
training :503
sbd :503
even :503
computer :503
annual :503
cr :502
capability :502
objectives :501
experimental :501
pioneer :499
k :498
return :497
begin :495
ex :492
heat :491
although :490
date :488
contracts :488
titan :486
george :486
sen :485
changes :485
required :484
estimated :484
radar :483
medical :483
review :480
carry :480
plan :479
planning :478
lockheed :478
upper :477
instrumentation :476
further :476
above :476
measurements :475
mach :475
atlantic :475
obtained :474
explorer :474
society :473
mr :473
good :472
∞nasa :471
rate :471
projects :471
present :471
afsc :471
primary :470
sec :467
released :467
material :467
able :466
safety :465
previous :463
meteorological :462
magnetic :462
effects :459
srl :458
pictures :458
activity :458
human :457
current :457
launching :455
already :455
pm :454
failure :454
usn :452
1978 :452
production :450
policy :450
photos :450
knowledge :450
1977 :450
1963 :450
dc :448
samples :447
manager :447
daily :446
costs :446
miles :444
noise :443
impact :443
former :443
hrs :442
basic :442
entered :441
get :440
france :440
caused :440
became :439
arc :439
scientist :438
particles :437
pacific :437
mercury :437
planetary :435
described :435
failed :433
rep :432
intelsat :431
comsat :431
effective :430
xray :429
past :429
history :429
against :429
recovery :428
hours :428
40 :428
jupiter :426
atomic :426
named :425
phase :424
own :424
transportation :422
signed :422
complex :422
sent :421
include :421
council :421
1962 :421
late :419
gen :419
people :418
fired :418
physics :417
main :417
important :416
according :416
vice :415
initial :415
lm :413
level :413
least :411
earlier :411
aboard :411
whether :410
transmitted :410
preliminary :410
however :410
french :410
almost :410
oxygen :408
navy :408
hq :408
british :408
network :407
webb :406
un :406
established :406
cosmonauts :406
place :405
astronomy :405
success :404
search :404
months :404
decision :404
full :402
base :401
army :400
passed :399
western :398
nearly :398
houston :398
largest :397
i1 :397
environmental :397
go :396
need :395
based :395
techniques :393
thrust :392
request :392
problem :392
potential :392
jsc :392
begun :392
lewis :391
iv :390
every :390
you :388
wing :388
produced :387
observations :387
150 :387
placed :386
douglas :386
building :385
age :385
flying :384
sea :383
docking :383
survey :381
operate :381
objective :379
members :379
few :379
200 :379
viking :378
requirements :378
necessary :378
hydrogen :378
following :378
fly :378
build :378
assembly :378
sst :377
nation :377
how :377
tested :375
gas :374
efforts :374
put :373
device :371
believed :371
among :371
greater :370
achieved :370
south :369
known :369
eight :368
35 :368
personnel :367
foreign :367
produce :366
planets :365
laser :365
just :363
island :363
needed :362
mass :362
higher :362
global :361
av :361
returned :360
instrument :360
progress :359
model :359
beginning :359
weight :358
direction :358
aec :358
funding :357
issued :356
addition :356
selection :355
motor :355
ments :355
come :355
reduce :350
civil :350
trans :349
responsible :349
â€ :348
given :348
commission :347
seven :346
lbs :346
target :345
subcommittee :345
half :345
effect :345
receive :344
prime :344
complete :343
yrs :342
reach :342
vandenberg :341
camera :341
previously :340
direct :340
yr :339
shown :338
airport :337
interview :336
treaty :335
operated :335
better :335
a3 :335
60 :335
uk :334
electrical :334
country :333
agencies :333
suggested :332
met :332
body :332
staff :331
medal :331
70 :331
x :330
television :330
making :330
germany :330
cloud :330
normally :329
density :329
approved :329
transcript :328
single :328
published :328
improved :328
conduct :328
yet :327
laboratories :327
change :327
luna :326
source :325
permit :325
noted :325
structure :324
ship :324
fields :324
onboard :323
maximum :323
help :323
different :323
larc :322
infrared :322
balloon :322
45 :322
liquid :321
col :321
industrial :320
contractor :320
anniversary :320
aerobee :320
technological :319
maj :319
chemical :319
fire :318
act :318
pilots :317
nsf :317
left :317
hardware :317
rather :316
agreed :316
111 :316
developing :315
altitudes :315
probes :314
editorial :314
stars :313
cosmic :313
america :312
spacelab :311
probably :310
moonâ€™s :310
langley :310
california :310
reports :309
beyond :309
purpose :308
telephone :307
rockwell :307
region :307
cause :307
article :307
orbits :306
city :306
antenna :306
university :305
san :305
ever :305
events :305
atlas :305
naval :304
little :304
joseph :304
completion :304
business :304
approach :304
500 :304
proposals :303
parachute :302
attempt :302
centers :301
member :300
asked :300
affairs :300
transfer :299
edt :299
discussed :299
close :299
surveyor :298
side :297
lower :297
evaluation :297
course :296
va :295
theory :295
significant :295
commander :295
war :293
form :293
evidence :293
ago :293
300 :293
telemetry :292
rendezvous :292
physical :292
meet :292
foundation :292
recorded :291
cut :291
considered :291
value :290
solid :290
open :289
head :289
workshop :288
interplanetary :288
delta :288
richard :287
providing :287
turned :286
relay :286
pd :286
existing :286
distance :286
basis :286
added :286
unidentified :285
transmission :284
soil :284
appeared :284
forces :283
east :283
formed :282
plane :281
dynamics :281
boosters :281
ames :281
sites :280
serve :280
plant :280
mcdonnell :280
gravity :280
fourth :280
airlines :280
experi :279
1961 :279
size :278
remote :278
executive :278
establish :278
enough :278
authorization :278
economic :277
division :277
ability :277
temperatures :276
short :276
entire :276
recent :275
process :275
gram :275
firing :275
recommended :274
kg :274
esro :274
electron :274
below :274
occurred :273
est :273
brought :273
amount :273
80 :273
too :272
tank :272
capsule :272
schedule :271
monitor :271
cells :271
automatic :271
appointed :271
supply :270
predicted :270
landed :270
evaluate :270
capable :270
rock :269
interest :269
employees :269
dust :269
stages :268
polar :268
improve :268
upon :267
unit :267
going :267
electronics :267
traffic :266
requested :266
prepared :266
original :266
needs :266
prototype :265
give :265
frank :265
edward :265
continuing :265
coast :265
died :264
deep :264
awards :264
submitted :263
reuters :263
best :263
means :262
concept :262
canada :262
view :261
photographs :261
move :261
lost :261
german :261
acquisition :261
trajectory :260
powered :260
managed :260
various :259
electronic :259
covered :259
cover :259
cm :259
trib :258
role :258
objects :258
local :258
applied :258
al :258
universities :257
persons :257
flew :257
fighter :257
throughout :256
manâ€™s :256
functioned :256
association :256
think :255
reduced :255
private :255
order :255
â€œwe :254
today :254
reactor :253
functioning :253
free :253
confirmed :253
approximately :253
young :252
visible :252
nine :252
los :252
letter :252
lerc :252
exchange :252
engineer :252
away :252
walter :251
require :251
orbited :251
navigation :251
cooperative :251
speeds :250
reduction :250
modified :250
health :250
fact :250
coverage :250
checkout :250
chamber :250
universe :249
peak :249
helicopter :249
compared :249
strategic :248
spent :248
rocks :248
highly :248
domestic :248
decade :248
characteristics :248
took :247
separate :247
normal :247
larger :247
david :247
ad :246
weapons :245
peaceful :245
observed :245
guidance :245
fletcher :245
either :245
wide :244
