24 hrs,24,0,0,0,2,5,3,1,0,2,2,0,2,0,4,2,0,0,0,0,0,0,0,0,0
2 satellites,24,1,0,0,5,0,3,0,0,2,0,0,1,1,1,1,1,2,1,0,0,0,0,0,1
500 lbs,23,0,0,2,6,5,1,0,0,1,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0
000 employees,23,1,1,1,3,1,0,0,0,0,3,1,1,2,1,4,0,2,0,0,0,0,0,1,0
two flights,21,0,0,0,1,3,1,1,1,0,0,3,4,1,2,0,0,0,1,0,0,1,1,0,0
100 lbs,21,0,3,2,1,3,1,2,0,4,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0
three cosmonauts,20,0,0,0,1,0,0,0,0,0,0,3,1,2,1,0,3,0,0,0,3,1,1,2,2
5 hrs,20,0,0,0,1,4,3,1,0,5,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0
12 days,20,0,1,1,1,0,1,0,4,0,0,3,2,0,0,2,2,2,0,0,0,0,0,0,1
two experiments,19,0,2,0,2,3,0,1,1,0,1,1,0,0,2,0,0,0,0,2,1,0,0,0,0
two communications,19,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,3,2,2
two decades,18,0,0,2,2,1,0,1,0,2,1,1,2,0,0,0,1,1,1,0,1,1,0,0,0
three engines,18,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,1,1,6,1,0,1,1
500 miles,18,4,2,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2
200 miles,18,2,4,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
200 lbs,18,0,1,0,2,7,0,4,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2 days,18,1,0,0,1,0,0,0,0,0,0,0,0,0,0,9,2,2,1,1,0,0,0,0,0
100 pounds,18,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
000 hrs,18,0,0,1,1,7,1,1,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
four hours,17,0,1,0,0,1,1,0,0,2,2,2,0,1,0,0,0,0,0,1,1,1,0,1,1
12 astronauts,17,0,0,0,0,0,0,0,0,5,9,2,1,0,0,0,0,0,0,0,0,0,0,0,0
two thirds,16,0,0,0,0,1,0,3,0,0,2,7,0,1,0,0,2,0,0,0,0,0,0,0,0
three minutes,16,0,3,1,0,2,3,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
60 days,16,0,2,0,0,0,2,0,1,2,3,0,0,2,1,1,1,0,0,0,0,0,0,0,0
4 days,16,1,1,0,0,1,0,0,0,0,1,2,0,0,0,3,4,1,0,2,0,0,0,0,0
