approx year, term, approx size, fill alpha percent, possible pos name, horiz align
1969.6,Enewetak}Atoll,11.870102,0.9921151,,center
1969.7,engineering}data,10.5,0.57187325,,center
1969.7,auroral}studies,11.794604,0.74026793,,center
1969.7,few}minutes,10.5,0.5744134,,center
1969.8,new}rockets,10.5,0.712605,,left
1969.9,studying,30.187485,0.47277847,,left
1970.0,scientific}requirements,18.642696,0.989561,,right
1970.3,Herbert}Friedman,18.662766,1.0,,left
1970.4,unmanned}payloads,10.5,0.47024176,,left
1970.4,four}hours,11.675898,0.5675544,,left
1970.6,operational}status,10.5,0.56221807,,center
1970.7,similar}experiments,10.5,0.9392493,,center
1970.7,lunar}roving,11.883581,0.57740957,,center
1970.8,lifting}bodies,10.5,0.5538255,,center
1970.9,19}grenades,31.075623,0.7463662,,right
1970.9,James}C|}Fletcher,40.658134,1.0,,center
1971.0,4}hrs,11.630791,0.7083289,,left
1971.2,transmitting,10.5,0.44293475,,left
1971.3,mapping,10.5,0.43949413,,left
1971.3,complete}data,10.5,0.93210906,,right
1971.4,scientific}objectives,26.622622,0.49643227,,center
1971.4,doing,10.5,0.41832566,,left
1971.6,experimental}objectives,16.133793,0.4912331,,left
1971.6,atmospheric}data,11.859541,0.48732194,,center
1971.6,giving,10.5,0.38088775,,left
1971.7,Black}Brant,20.173132,1.0,,center
1971.8,joint}working,11.287997,0.96209925,,center
1971.8,valuable}data,10.5,0.5771095,,center
1971.8,providing}data,10.5,0.47668543,,center
1971.8,super}areas,10.5,0.721012,,center
1971.9,100}lbs,10.5,0.7072157,,center
1972.2,meteorological}studies,10.5,0.6840608,,left
1972.3,significant}data,10.5,0.5634016,,left
1972.3,59}days,10.5,0.47283825,,left
1972.3,good}spirits,10.5,0.6996347,,left
1972.4,three}minutes,12.796107,0.5678517,,left
1972.5,the}current}fiscal}year,13.816446,0.58026385,,left
1972.5,fiscal}year,34.951656,1.0,,center
1972.7,two}hours,21.200472,0.49427286,,left
1972.8,30}minutes,10.5,0.5663662,,center
1972.8,Roy}P|}Jackson,10.5,1.0,,left
1972.9,Pierre}Messmer,10.5,1.0,,left
1973.1,increasing,10.5,0.46212316,,left
1973.1,traveling,10.5,0.42672363,,left
1973.2,elliptical}parking}orbit,15.234834,0.47110632,,left
1973.3,cooling,10.5,0.39288047,,left
1973.3,North}Pole,23.60071,0.9051485,,left
1973.4,experimental}data,10.5,0.54477537,,left
1973.6,solid}boosters,15.794815,0.55118954,,left
1973.7,initial}tests,10.5,0.5456475,,left
1973.7,48}hrs,23.192354,0.41683364,,left
1973.8,in-flight}data,10.5,1.0,,right
1973.8,other}tests,10.5,0.45798513,,center
1974.0,electronic}assemblies,10.719972,0.90699035,,left
1974.1,solar}xrays,10.5,0.8727426,,left
1974.3,training,10.5,0.47725752,,left
1974.3,diurnal}variations,10.5,0.45325318,,right
1974.4,Gary}L|}Bennett,28.18968,1.0,,center
1974.4,Kerguelen}Islands,21.242403,1.0,,left
1974.6,solid}rockets,22.455389,0.58856976,,right
1974.6,two}sections,10.5,0.8429363,,left
1974.7,radiant}heating,10.5,0.5289205,,center
1974.8,stellar}studies,14.033879,0.91913676,,center
1974.9,natural}gas,14.953892,0.098794065,,right
1975.0,radioactive}wastes,10.534815,0.9176745,,right
1975.1,4}days,10.5,0.41591015,,right
1975.1,Vologda}Oblast,10.5,1.0,,right
1975.1,63}days,10.5,0.4679687,,right
1975.3,intercontinental}ballistic}missiles,10.5,0.31679034,,center
1975.4,spring,10.5,0.417491,,left
1975.5,40}yrs,10.5,0.83274347,,right
1975.6,Juan}Gualterio}Roederer,14.542961,1.0,,right
1975.7,13}experiments,10.5,0.5558804,,center
1975.7,Gerald}A|}Mossinghoff,13.871142,1.0,,right
1975.8,three}fourths,10.5,0.5732173,,center
1975.8,two}boosters,10.5,0.53782505,,right
1975.9,Karl}Thom,21.998764,1.0,,right
1976.3,main}chutes,10.5,0.5697861,,left
1976.3,launching}facilities,10.5,0.922798,,left
1976.3,aft}skirts,10.5,0.90336376,,right
1976.3,Barents}Sea,23.560516,1.0,,right
1976.3,Akademik}Korolev,17.63695,1.0,,center
1976.6,Atlas}Centaur,18.607508,1.0,,center
1976.7,Royce}Mitchell,10.5,1.0,,center
1976.7,Bob}Everette,11.794963,1.0,,center
1976.8,Altas}Centaur,12.022184,1.0,,center
